Participant,Tool,Task,Ideas,Semantic,Flex,Original,DEMO_1,DEMO_1_6_TEXT,DEMO_2,DEMO_3,DEMO_4,DEMO_4_2_TEXT,DEMO_5,DEMO_6,DEMO_6_3_TEXT,CAD_1,CAD_2,CAD_3,CAD_3_8_TEXT,CAD_4,CAD_5,CAD_5_4_TEXT,PP_1,PP_2,PP_3,PP_4,PP_4_4_TEXT,VISION_1,VISION_1_1_TEXT,NASA_1,NASA_2,NASA_3,NASA_4,NASA_5,NASA_6
PTP15,CAD,Bed,2,0.286355,1,0.102564103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,14,6,16,12
PTP16,PP,Bed,42,0.874866905,36,0.045177045,4,NA,1,22,1,NA,1,3,Mechanical engineering 3d cad,1,2,"3,4",NA,1,"2,3",NA,2,4,1,"1,2,3",NA,2,NA,10,0,16,NA,2,0
PTP16,CAD,Cabinet,4,0.90359,4,0.128205128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,4,6,4
PTP17,PP,Cabinet,18,0.703216111,3,0.045584046,3,NA,2,21,2,Indonesia,3,2,NA,1,1,2,NA,3,3,NA,1,1,3,3,NA,2,NA,8,2,6,12,10,8
PTP17,CAD,Bed,5,0.228656,2,0.051282051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,14,6,13,11
PTP18,PP,Bed,7,0.79766,7,0.183150183,5,NA,1,22,1,NA,1,3,3D modelling,2,2,"2,4",NA,2,"1,3",NA,1,1,3,1,NA,2,NA,6,2,6,12,6,2
PTP18,CAD,Cabinet,5,0.80403,4,0.235897436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,10,10,10,13
PTP19,PP,Cabinet,25,0.6879924,10,0.115897436,3,NA,1,21,1,NA,2,2,NA,1,1,4,NA,2,1,NA,1,2,1,3,NA,2,NA,12,8,4,16,15,10
PTP19,CAD,Bed,4,0.8110075,4,0.102564103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,19,6,10,10
PTP20,PP,Bed,12,0.755305,10,0.070512821,1,NA,1,18,1,NA,1,3,Robotics,3,3,"1,2,6,8",Autodesk Inventor,2,1,NA,3,4,1,3,NA,2,NA,5,0,8,14,6,12
PTP20,CAD,Cabinet,17,0.911851177,15,0.064856712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,3,8,11,11
PTP21,PP,Cabinet,7,0.8334,3,0.091575092,6,Graduated,2,22,2,Mandarin,2,3,Process Design,3,3,4,NA,1,1,NA,2,3,2,3,NA,2,NA,12,16,8,20,14,2
PTP21,CAD,Bed,1,0.764,1,0.025641026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,14,4,12,15
PTP22,PP,Bed,13,0.889044615,9,0.071005917,3,NA,2,20,1,NA,1,3,UI/UX Design,1,1,NA,NA,4,4,NA,2,2,2,1,NA,2,NA,10,2,8,12,10,3
PTP22,CAD,Cabinet,5,0.862902,5,0.025641026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,13,7,14,13
PTP23,PP,Cabinet,17,0.825575882,6,0.067873303,3,NA,1,20,2,Mandarin,1,3,mechanical product design engineering,1,2,"2,4",NA,1,"1,3",NA,1,1,3,3,NA,2,NA,12,4,4,14,10,6
PTP23,CAD,Bed,5,0.843248,4,0.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,10,12,6,2
PTP24,PP,Cabinet,32,0.898904375,21,0.046474359,3,NA,1,19,1,NA,2,3,"product design, component design",2,2,"3,4,7",NA,2,"3,4",Took a few lessons as part of a summer camp-style program,1,1,3,1,NA,1,nearsighted (can't see things far away without glasses),9,4,8,14,10,4
PTP24,CAD,Bed,3,0.5767,3,0.042735043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,17,8,13,8
PTP25,PP,Cabinet,5,0.865314,5,0.102564103,2,NA,1,19,2,Mandarin,1,2,NA,1,2,"1,4",NA,2,3,NA,2,4,3,4,Extracurriculars,2,NA,14,2,2,8,12,0
PTP25,CAD,Bed,3,0.83606,3,0.05982906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,12,8,10,16
PTP26,PP,Cabinet,10,0.777922,8,0.133333333,3,NA,2,20,2,Mandarin,1,2,NA,2,2,"1,2",NA,2,3,NA,2,3,1,3,NA,2,NA,10,8,3,16,10,12
PTP26,CAD,Bed,5,0.825282,4,0.030769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,10,16,10,14,12
PTP27,PP,Bed,42,0.821339286,34,0.059218559,6,4th year PhD,1,26,1,NA,1,3,mechanical product design engineering,2,4,"1,4",NA,2,"1,3",NA,2,4,3,1,NA,2,NA,10,1,4,10,9,3
PTP27,CAD,Cabinet,7,0.90945,7,0.029304029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,6,3,8,13
PTP28,PP,Cabinet,27,0.884557037,19,0.075973409,3,NA,1,20,1,NA,1,2,NA,2,3,"1,4",NA,2,"1,3",NA,2,4,2,"1,3",NA,2,NA,4,2,1,14,5,2
PTP28,CAD,Bed,38,0.804612368,33,0.0634278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,17,3,2
